,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.214,0.207,0.197,0.208,0.198,0.232,0.257,0.318,0.309,0.253,0.224,0.239
1,0.223,0.202,0.197,0.201,0.237,0.235,0.252,0.282,0.266,0.248,0.221,0.267
2,0.228,0.201,0.196,0.214,0.18,0.197,0.271,0.298,0.28,0.243,0.246,0.233
3,0.219,0.206,0.192,0.217,0.212,0.2,0.267,0.311,0.269,0.222,0.263,0.264
4,0.221,0.209,0.199,0.238,0.162,0.191,0.277,0.315,0.302,0.234,0.258,0.242
5,0.215,0.211,0.196,0.225,0.24,0.224,0.264,0.261,0.275,0.241,0.247,0.265
6,0.22,0.209,0.197,0.164,0.231,0.204,0.289,0.31,0.296,0.226,0.244,0.231
7,0.223,0.206,0.196,0.193,0.228,0.19,0.308,0.316,0.312,0.238,0.232,0.249
8,0.212,0.203,0.193,0.215,0.229,0.159,0.276,0.295,0.301,0.268,0.24,0.223
9,0.216,0.209,0.196,0.188,0.172,0.185,0.279,0.281,0.254,0.276,0.262,0.235
