,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.222,0.179,0.194,0.215,0.172,0.175,0.23,0.22,0.228,0.203,0.197,0.218
1,0.229,0.179,0.194,0.218,0.181,0.209,0.218,0.215,0.212,0.214,0.196,0.171
2,0.216,0.176,0.188,0.167,0.221,0.173,0.226,0.232,0.231,0.187,0.17,0.215
3,0.222,0.187,0.195,0.213,0.165,0.222,0.216,0.222,0.232,0.172,0.201,0.186
4,0.214,0.178,0.191,0.163,0.21,0.233,0.232,0.235,0.223,0.195,0.204,0.188
5,0.221,0.179,0.197,0.192,0.232,0.157,0.22,0.224,0.214,0.2,0.219,0.199
6,0.22,0.181,0.19,0.212,0.186,0.195,0.22,0.226,0.229,0.177,0.208,0.21
7,0.219,0.171,0.185,0.238,0.201,0.211,0.222,0.212,0.223,0.18,0.182,0.205
8,0.222,0.18,0.195,0.156,0.205,0.162,0.221,0.214,0.231,0.175,0.217,0.213
9,0.223,0.186,0.195,0.226,0.227,0.228,0.212,0.225,0.223,0.179,0.184,0.206
