,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.201,0.218,0.188,0.161,0.234,0.163,0.145,0.123,0.15,0.189,0.171,0.181
1,0.21,0.209,0.193,0.21,0.153,0.223,0.146,0.136,0.141,0.152,0.177,0.178
2,0.2,0.217,0.188,0.24,0.233,0.155,0.134,0.129,0.126,0.163,0.157,0.162
3,0.201,0.213,0.188,0.239,0.192,0.213,0.143,0.144,0.142,0.15,0.187,0.18
4,0.195,0.211,0.184,0.206,0.208,0.177,0.139,0.124,0.132,0.17,0.158,0.182
5,0.191,0.217,0.187,0.193,0.171,0.186,0.125,0.148,0.128,0.159,0.19,0.172
6,0.198,0.218,0.173,0.216,0.209,0.205,0.12,0.127,0.122,0.155,0.164,0.154
7,0.201,0.209,0.189,0.164,0.23,0.22,0.133,0.138,0.13,0.179,0.165,0.151
8,0.197,0.22,0.184,0.236,0.215,0.219,0.137,0.135,0.131,0.168,0.166,0.156
9,0.2,0.213,0.194,0.237,0.151,0.214,0.14,0.147,0.149,0.169,0.175,0.173
