,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.182,0.191,0.183,0.198,0.207,0.206,0.147,0.157,0.173,0.115,0.12,0.139
1,0.185,0.193,0.185,0.23,0.233,0.184,0.143,0.177,0.145,0.125,0.13,0.117
2,0.181,0.198,0.182,0.17,0.235,0.247,0.165,0.174,0.14,0.133,0.123,0.114
3,0.177,0.203,0.182,0.219,0.223,0.237,0.141,0.16,0.151,0.127,0.112,0.129
4,0.17,0.203,0.183,0.171,0.199,0.228,0.171,0.146,0.154,0.131,0.116,0.14
5,0.178,0.196,0.184,0.175,0.243,0.194,0.153,0.149,0.166,0.118,0.121,0.128
6,0.18,0.2,0.179,0.204,0.179,0.201,0.167,0.15,0.163,0.119,0.11,0.134
7,0.181,0.201,0.176,0.245,0.248,0.218,0.148,0.175,0.144,0.135,0.113,0.122
8,0.182,0.208,0.187,0.18,0.186,0.174,0.172,0.168,0.176,0.111,0.124,0.126
9,0.174,0.198,0.182,0.229,0.231,0.239,0.178,0.158,0.164,0.138,0.137,0.136
