,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.202,0.202,0.185,0.246,0.21,0.247,0.164,0.162,0.167,0.132,0.112,0.131
1,0.202,0.21,0.187,0.188,0.214,0.233,0.161,0.156,0.167,0.125,0.118,0.126
2,0.194,0.205,0.187,0.199,0.206,0.221,0.16,0.16,0.175,0.12,0.121,0.114
3,0.202,0.208,0.188,0.23,0.192,0.228,0.173,0.166,0.17,0.137,0.146,0.142
4,0.198,0.206,0.186,0.195,0.198,0.178,0.152,0.174,0.163,0.14,0.124,0.113
5,0.199,0.208,0.189,0.218,0.249,0.2,0.164,0.155,0.154,0.111,0.129,0.136
6,0.197,0.204,0.193,0.213,0.234,0.226,0.174,0.158,0.157,0.133,0.147,0.135
7,0.198,0.206,0.187,0.187,0.215,0.176,0.163,0.153,0.173,0.144,0.13,0.128
8,0.198,0.202,0.187,0.22,0.19,0.219,0.153,0.172,0.175,0.119,0.149,0.141
9,0.201,0.202,0.19,0.208,0.237,0.174,0.165,0.166,0.164,0.134,0.138,0.117
