,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.215,0.186,0.209,0.164,0.189,0.171,0.151,0.149,0.17,0.245,0.224,0.246
1,0.213,0.189,0.208,0.181,0.219,0.208,0.156,0.154,0.158,0.234,0.22,0.236
2,0.213,0.187,0.202,0.206,0.155,0.186,0.147,0.144,0.155,0.241,0.237,0.253
3,0.214,0.181,0.205,0.199,0.231,0.205,0.168,0.145,0.141,0.211,0.229,0.225
4,0.214,0.185,0.2,0.176,0.201,0.218,0.15,0.164,0.153,0.21,0.255,0.217
5,0.212,0.19,0.207,0.24,0.153,0.238,0.14,0.166,0.161,0.228,0.256,0.238
6,0.214,0.179,0.205,0.196,0.209,0.236,0.143,0.162,0.169,0.213,0.221,0.24
7,0.222,0.187,0.203,0.237,0.193,0.172,0.146,0.148,0.167,0.25,0.248,0.251
8,0.218,0.182,0.205,0.204,0.229,0.178,0.142,0.165,0.163,0.26,0.227,0.226
9,0.221,0.18,0.209,0.151,0.152,0.221,0.159,0.152,0.157,0.239,0.23,0.219
