,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.151,0.172,0.194,0.165,0.154,0.148,0.165,0.173,0.155,0.132,0.163,0.134
1,0.158,0.175,0.189,0.144,0.164,0.15,0.17,0.161,0.151,0.159,0.131,0.136
2,0.159,0.171,0.191,0.141,0.16,0.151,0.168,0.162,0.167,0.15,0.138,0.142
3,0.158,0.168,0.191,0.142,0.155,0.163,0.169,0.166,0.18,0.135,0.153,0.164
4,0.16,0.167,0.193,0.167,0.158,0.156,0.153,0.176,0.159,0.148,0.161,0.137
5,0.157,0.177,0.186,0.162,0.17,0.159,0.158,0.177,0.171,0.17,0.157,0.168
6,0.148,0.168,0.186,0.157,0.166,0.14,0.164,0.179,0.163,0.139,0.165,0.149
7,0.155,0.172,0.195,0.145,0.168,0.153,0.178,0.15,0.172,0.145,0.154,0.133
8,0.16,0.172,0.188,0.161,0.146,0.143,0.16,0.175,0.157,0.14,0.167,0.169
9,0.152,0.163,0.189,0.152,0.147,0.169,0.154,0.174,0.152,0.141,0.16,0.162
