,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.101,0.108,0.123,0.1,0.11,0.19,0.166,0.179,0.171,0.217,0.206,0.199
1,0.097,0.114,0.117,0.1,0.11,0.18,0.177,0.185,0.182,0.224,0.209,0.177
2,0.098,0.11,0.122,0.07,0.14,0.21,0.162,0.173,0.188,0.194,0.189,0.191
3,0.1,0.112,0.126,0.09,0.11,0.21,0.176,0.16,0.19,0.18,0.182,0.227
4,0.099,0.11,0.121,0.08,0.14,0.2,0.172,0.164,0.187,0.221,0.181,0.197
5,0.097,0.109,0.12,0.08,0.13,0.2,0.167,0.174,0.18,0.205,0.216,0.178
6,0.102,0.111,0.119,0.08,0.09,0.2,0.17,0.184,0.186,0.187,0.222,0.203
7,0.105,0.112,0.123,0.09,0.12,0.23,0.161,0.181,0.165,0.213,0.183,0.188
8,0.099,0.11,0.119,0.08,0.12,0.18,0.163,0.189,0.183,0.19,0.225,0.17
9,0.1,0.11,0.121,0.11,0.14,0.19,0.168,0.178,0.169,0.215,0.196,0.193
