,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.115,0.138,0.145,0.143,0.208,0.241,0.149,0.137,0.139,0.181,0.187,0.182
1,0.114,0.136,0.148,0.165,0.191,0.285,0.146,0.151,0.156,0.212,0.202,0.215
2,0.109,0.132,0.143,0.162,0.188,0.239,0.139,0.135,0.14,0.183,0.203,0.207
3,0.119,0.135,0.144,0.146,0.164,0.233,0.15,0.153,0.148,0.185,0.193,0.204
4,0.108,0.135,0.145,0.139,0.192,0.237,0.137,0.15,0.138,0.214,0.195,0.211
5,0.108,0.133,0.147,0.167,0.199,0.283,0.144,0.152,0.154,0.209,0.206,0.186
6,0.112,0.135,0.137,0.168,0.162,0.287,0.155,0.147,0.136,0.199,0.22,0.219
7,0.108,0.134,0.137,0.166,0.201,0.266,0.143,0.144,0.135,0.198,0.191,0.184
8,0.112,0.135,0.149,0.15,0.195,0.284,0.149,0.135,0.137,0.196,0.208,0.194
9,0.11,0.134,0.145,0.145,0.167,0.256,0.136,0.145,0.153,0.218,0.197,0.217
