,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.116,0.131,0.15,0.138,0.153,0.191,0.197,0.172,0.183,0.238,0.248,0.233
1,0.113,0.131,0.144,0.112,0.154,0.231,0.179,0.174,0.184,0.244,0.263,0.257
2,0.115,0.131,0.138,0.129,0.166,0.219,0.175,0.196,0.182,0.265,0.256,0.232
3,0.11,0.132,0.149,0.149,0.157,0.184,0.173,0.181,0.193,0.23,0.25,0.268
4,0.122,0.129,0.151,0.12,0.173,0.237,0.194,0.191,0.198,0.242,0.234,0.231
5,0.118,0.136,0.145,0.132,0.186,0.21,0.176,0.2,0.186,0.249,0.243,0.246
6,0.109,0.126,0.143,0.134,0.159,0.19,0.171,0.201,0.17,0.267,0.251,0.247
7,0.116,0.126,0.146,0.126,0.156,0.201,0.19,0.178,0.177,0.235,0.262,0.27
8,0.113,0.126,0.138,0.127,0.16,0.183,0.189,0.187,0.199,0.24,0.269,0.259
9,0.109,0.134,0.157,0.142,0.174,0.222,0.188,0.195,0.18,0.258,0.26,0.264
