,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.117,0.136,0.143,0.149,0.157,0.162,0.095,0.076,0.072,0.17,0.205,0.173
1,0.118,0.13,0.141,0.137,0.14,0.134,0.11,0.07,0.078,0.178,0.176,0.196
2,0.115,0.124,0.14,0.154,0.144,0.135,0.096,0.094,0.077,0.209,0.174,0.202
3,0.111,0.124,0.148,0.141,0.164,0.153,0.111,0.097,0.115,0.19,0.185,0.183
4,0.113,0.131,0.151,0.166,0.143,0.163,0.075,0.073,0.102,0.177,0.171,0.184
5,0.112,0.124,0.146,0.147,0.159,0.142,0.117,0.109,0.113,0.193,0.207,0.195
6,0.112,0.131,0.156,0.16,0.158,0.148,0.092,0.086,0.112,0.181,0.175,0.2
7,0.115,0.129,0.15,0.15,0.138,0.145,0.084,0.087,0.08,0.198,0.18,0.189
8,0.113,0.132,0.141,0.156,0.167,0.146,0.114,0.093,0.103,0.188,0.201,0.197
9,0.116,0.126,0.146,0.136,0.165,0.161,0.1,0.071,0.116,0.179,0.182,0.203
