,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.112,0.14,0.172,0.167,0.168,0.164,0.225,0.266,0.221,0.155,0.179,0.161
1,0.119,0.149,0.157,0.15,0.185,0.152,0.23,0.25,0.217,0.196,0.166,0.16
2,0.115,0.147,0.164,0.156,0.18,0.174,0.231,0.255,0.242,0.175,0.164,0.181
3,0.111,0.148,0.155,0.169,0.157,0.151,0.26,0.211,0.212,0.192,0.174,0.188
4,0.123,0.15,0.161,0.166,0.162,0.182,0.254,0.263,0.252,0.173,0.171,0.191
5,0.128,0.149,0.163,0.159,0.184,0.172,0.239,0.238,0.269,0.156,0.154,0.18
6,0.119,0.143,0.165,0.181,0.171,0.155,0.229,0.216,0.261,0.165,0.185,0.169
7,0.124,0.14,0.158,0.161,0.176,0.186,0.232,0.265,0.259,0.163,0.194,0.178
8,0.12,0.15,0.157,0.165,0.17,0.189,0.215,0.223,0.243,0.182,0.198,0.183
9,0.113,0.14,0.162,0.178,0.188,0.154,0.222,0.244,0.236,0.187,0.168,0.193
