,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.121,0.136,0.153,0.078,0.077,0.086,0.157,0.142,0.159,0.175,0.165,0.176
1,0.125,0.137,0.148,0.096,0.075,0.079,0.163,0.151,0.169,0.166,0.18,0.167
2,0.126,0.128,0.149,0.091,0.111,0.1,0.132,0.131,0.145,0.164,0.183,0.184
3,0.131,0.136,0.16,0.11,0.094,0.101,0.141,0.144,0.166,0.161,0.182,0.17
4,0.129,0.135,0.152,0.113,0.104,0.083,0.161,0.146,0.135,0.168,0.189,0.162
5,0.133,0.133,0.157,0.109,0.09,0.081,0.147,0.149,0.155,0.179,0.173,0.19
6,0.132,0.134,0.155,0.085,0.093,0.115,0.154,0.16,0.137,0.181,0.163,0.174
7,0.129,0.142,0.152,0.098,0.117,0.105,0.167,0.143,0.15,0.169,0.171,0.185
8,0.129,0.129,0.151,0.087,0.071,0.088,0.14,0.133,0.158,0.16,0.178,0.186
9,0.13,0.13,0.152,0.076,0.107,0.108,0.168,0.164,0.136,0.187,0.177,0.188
