,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.135,0.144,0.168,0.216,0.247,0.222,0.182,0.214,0.201,0.167,0.168,0.164
1,0.13,0.149,0.175,0.244,0.243,0.248,0.187,0.21,0.193,0.15,0.185,0.152
2,0.137,0.159,0.165,0.242,0.231,0.225,0.2,0.203,0.204,0.156,0.18,0.174
3,0.131,0.145,0.177,0.238,0.24,0.23,0.195,0.178,0.207,0.169,0.157,0.151
4,0.141,0.143,0.177,0.227,0.239,0.232,0.192,0.179,0.215,0.166,0.162,0.182
5,0.13,0.141,0.176,0.221,0.234,0.236,0.217,0.199,0.185,0.159,0.184,0.172
6,0.132,0.144,0.175,0.219,0.226,0.224,0.184,0.216,0.172,0.181,0.171,0.155
7,0.138,0.146,0.167,0.229,0.218,0.228,0.177,0.198,0.188,0.161,0.176,0.186
8,0.134,0.145,0.167,0.22,0.235,0.215,0.209,0.191,0.219,0.165,0.17,0.189
9,0.142,0.152,0.176,0.217,0.233,0.237,0.211,0.174,0.186,0.178,0.188,0.154
