,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.112,0.126,0.146,0.153,0.177,0.247,0.219,0.214,0.22,0.224,0.246,0.252
1,0.111,0.13,0.142,0.145,0.225,0.251,0.203,0.202,0.222,0.245,0.241,0.256
2,0.113,0.129,0.146,0.164,0.162,0.245,0.227,0.226,0.218,0.249,0.235,0.222
3,0.113,0.121,0.143,0.141,0.216,0.242,0.205,0.213,0.23,0.228,0.255,0.254
4,0.119,0.124,0.141,0.158,0.182,0.237,0.228,0.224,0.21,0.237,0.243,0.233
5,0.121,0.121,0.146,0.146,0.199,0.243,0.229,0.2,0.221,0.232,0.238,0.22
6,0.116,0.121,0.149,0.162,0.211,0.235,0.209,0.223,0.201,0.221,0.242,0.253
7,0.113,0.12,0.142,0.161,0.183,0.252,0.212,0.215,0.216,0.248,0.227,0.251
8,0.112,0.127,0.142,0.157,0.226,0.231,0.217,0.225,0.204,0.247,0.26,0.236
9,0.112,0.121,0.147,0.167,0.172,0.277,0.211,0.207,0.206,0.257,0.234,0.24
