,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.127,0.143,0.162,0.112,0.115,0.14,0.215,0.181,0.211,0.207,0.22,0.198
1,0.132,0.133,0.155,0.123,0.126,0.139,0.182,0.163,0.169,0.214,0.216,0.195
2,0.132,0.133,0.157,0.125,0.129,0.117,0.197,0.171,0.202,0.19,0.211,0.197
3,0.137,0.132,0.151,0.111,0.119,0.122,0.178,0.194,0.176,0.209,0.213,0.218
4,0.134,0.134,0.164,0.118,0.124,0.12,0.189,0.18,0.168,0.192,0.2,0.205
5,0.135,0.135,0.155,0.136,0.135,0.138,0.164,0.2,0.165,0.206,0.191,0.215
6,0.127,0.136,0.157,0.116,0.131,0.11,0.16,0.208,0.188,0.203,0.196,0.201
7,0.124,0.135,0.157,0.121,0.133,0.13,0.187,0.206,0.204,0.219,0.212,0.204
8,0.135,0.137,0.149,0.114,0.128,0.132,0.174,0.186,0.191,0.193,0.217,0.199
9,0.127,0.135,0.156,0.134,0.137,0.113,0.218,0.216,0.195,0.194,0.21,0.202
