,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.112,0.123,0.145,0.134,0.215,0.263,0.113,0.127,0.11,0.156,0.161,0.152
1,0.118,0.126,0.144,0.132,0.219,0.27,0.122,0.107,0.104,0.163,0.176,0.16
2,0.113,0.123,0.149,0.147,0.247,0.299,0.112,0.104,0.128,0.167,0.18,0.169
3,0.109,0.126,0.14,0.138,0.201,0.283,0.123,0.111,0.123,0.179,0.175,0.164
4,0.114,0.123,0.142,0.14,0.227,0.259,0.109,0.1,0.104,0.165,0.168,0.159
5,0.113,0.128,0.146,0.171,0.236,0.288,0.127,0.118,0.12,0.157,0.166,0.153
6,0.115,0.126,0.148,0.167,0.199,0.294,0.117,0.114,0.114,0.171,0.174,0.17
7,0.11,0.124,0.143,0.157,0.193,0.247,0.1,0.1,0.108,0.151,0.15,0.173
8,0.115,0.129,0.146,0.165,0.239,0.241,0.108,0.117,0.103,0.158,0.177,0.162
9,0.118,0.123,0.138,0.179,0.229,0.255,0.113,0.113,0.122,0.154,0.172,0.178
