,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,0.112,0.13,0.151,0.155,0.179,0.161,0.132,0.163,0.134,0.13,0.115,0.133
1,0.118,0.137,0.156,0.196,0.166,0.16,0.159,0.131,0.136,0.141,0.125,0.143
2,0.117,0.126,0.152,0.175,0.164,0.181,0.15,0.138,0.142,0.124,0.117,0.121
3,0.118,0.131,0.158,0.192,0.174,0.188,0.135,0.153,0.164,0.119,0.144,0.122
4,0.115,0.129,0.152,0.173,0.171,0.191,0.148,0.161,0.137,0.131,0.116,0.111
5,0.115,0.13,0.151,0.156,0.154,0.18,0.17,0.157,0.168,0.147,0.138,0.148
6,0.111,0.126,0.158,0.165,0.185,0.169,0.139,0.165,0.149,0.129,0.113,0.112
7,0.112,0.132,0.152,0.163,0.194,0.178,0.145,0.154,0.133,0.14,0.127,0.137
8,0.112,0.127,0.153,0.182,0.198,0.183,0.14,0.167,0.169,0.128,0.132,0.11
9,0.112,0.129,0.153,0.187,0.168,0.193,0.141,0.16,0.162,0.146,0.135,0.145
