,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,22.434,22.197,20.354,21.837,17.789,21.359,21.107,21.597,22.59,28.554,25.687,27.262
1,22.451,21.633,20.634,23.364,23.735,21.723,22.265,22.322,22.772,26.871,24.849,27.593
2,22.684,22.375,20.44,17.435,22.193,17.886,21.759,21.249,21.627,25.011,27.477,28.884
3,22.902,21.941,20.447,19.358,18.771,23.316,22.826,22.655,21.312,25.585,25.359,24.902
4,22.833,22.117,20.991,19.11,19.922,23.595,22.291,21.327,22.617,25.703,25.42,26.999
5,23.24,22.091,20.32,18.978,23.87,20.687,21.876,22.668,22.376,27.83,24.798,24.404
6,23.236,22.134,20.112,17.912,18.733,18.105,21.157,22.818,21.594,27.346,26.16,27.731
7,23.298,22.219,20.333,23.656,22.148,22.959,21.678,21.638,22.342,25.731,26.701,24.327
8,23.16,22.126,20.286,19.802,22.658,23.103,21.901,21.864,22.312,27.521,25.918,25.99
9,23.676,22.341,20.171,22.9,19.561,23.213,22.434,22.221,22.135,28.931,26.275,28.063
