,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,19.993,18.893,16.593,19.372,23.341,16.52,23.309,21.862,20.774,21.653,22.923,23.37
1,19.546,19.25,16.928,21.557,19.017,21.083,22.604,22.715,23.63,21.669,24.109,22.911
2,19.937,19.118,17.784,17.257,17.413,21.029,20.384,24.3,23.807,22.351,25.194,25.186
3,19.585,19.127,17.17,15.465,18.046,17.566,21.94,21.357,21.866,24.565,25.997,21.733
4,20.08,18.45,16.873,19.686,22.888,15.519,23.378,20.227,22.908,22.957,23.223,21.441
5,20.228,19.049,16.435,23.925,16.341,22.403,23.404,23.235,23.964,24.472,24.777,23.423
6,19.186,18.532,16.659,18.72,20.576,23.131,22.398,23.195,23.51,25.497,21.322,25.779
7,20.341,19.002,16.718,22.915,18.645,15.614,21.421,23.247,23.657,23.057,23.591,23.97
8,20.475,18.984,17.114,16.698,23.306,15.409,21.022,24.226,20.503,25.508,21.842,22.097
9,19.934,18.634,17.164,18.844,20.192,21.281,21.39,20.751,23.801,25.677,24.218,24.424
