,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,21.525,20.472,18.935,19.59,23.756,21.199,14.82,15.204,14.695,18.696,18.735,20.707
1,21.309,20.567,19.232,23.628,16.246,16.555,15.757,16.124,16.866,21.703,18.774,17.765
2,21.501,20.657,19.348,17.636,16.236,16.018,15.171,15.892,14.302,20.782,19.198,20.402
3,21.721,20.364,18.678,21.006,18.093,23.776,15.58,16.584,15.102,20.122,22.856,17.884
4,21.722,20.216,19.056,22.404,19.571,16.666,16.677,15.745,15.76,22.251,17.042,21.966
5,21.664,20.668,18.88,23.433,16.046,21.82,16.607,15.133,16.876,17.346,19.985,20.332
6,21.502,20.628,19.211,19.282,22.422,18.327,14.935,16.22,16.985,18.134,19.495,22.589
7,21.38,20.681,19.408,15.928,16.051,20.874,15.032,15.624,14.765,18.067,19.864,18.126
8,21.356,20.593,18.991,19.064,17.232,21.202,14.052,14.146,15.086,21.416,19.158,21.62
9,21.525,20.866,18.947,21.983,15.522,17.234,16.848,16.084,16.904,18.632,17.171,21.262
