,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,19.091,17.895,16.609,15.98,13.413,17.833,19.549,17.62,17.226,18.814,17.68,17.112
1,19.138,17.942,16.303,18.728,12.471,15.231,17.416,18.755,19.317,17.891,18.338,16.422
2,18.709,18.18,16.224,17.03,16.652,13.572,18.787,17.954,17.928,17.722,17.588,16.508
3,19.052,18.1,16.643,17.753,18.79,16.566,18.062,18.875,19.315,17.27,17.728,16.452
4,18.643,17.794,16.714,15.538,16.6,17.819,17.546,19.536,18.982,18.422,17.817,18.245
5,18.942,18.053,16.878,15.099,14.209,18.549,18.552,19.583,17.802,17.823,16.726,18.277
6,19.046,17.828,16.367,19.054,12.967,19.043,17.163,19.631,19.082,17.948,16.397,18.53
7,18.983,17.824,16.284,18.73,15.848,14.126,17.753,17.222,19.789,16.744,16.166,18.241
8,19.192,18.139,16.629,16.696,12.529,15.097,19.658,17.823,19.454,17.721,18.586,18.453
9,18.976,18.264,16.448,14.988,18.106,13.886,19.596,17.462,18.729,16.552,17.458,16.345
