,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,16.304,14.353,11.481,13.365,16.384,16.113,22.971,23.209,21.524,19.752,21.695,19.133
1,16.723,14.263,11.418,17.879,12.144,18.951,21.607,22.97,23.712,19.093,19.767,19.813
2,16.4,14.604,11.49,13.125,17.789,16.561,21.763,21.333,21.889,20.456,19.039,19.149
3,16.977,14.442,11.456,15.161,17.556,15.558,24.056,21.407,23.416,19.293,21.176,20.167
4,16.906,14.351,11.146,14.96,17.111,16.551,24.779,22.757,23.436,21.004,21.419,20.704
5,16.643,14.479,11.64,17.496,17.924,17.207,23.093,23.992,21.875,22.324,19.616,21.396
6,16.298,14.533,11.255,16.519,13.274,12.727,24.249,23.004,23.471,19.436,22.643,20.211
7,16.286,14.303,11.252,13.525,18.176,17.129,21.842,21.585,24.72,19.016,19.405,22.116
8,16.803,14.719,12.051,14.818,12.733,15.537,21.639,21.512,21.999,22.052,19.956,21.432
9,16.514,14.954,11.511,16.949,17.057,12.196,21.981,23.046,21.079,20.099,19.484,22.285
