,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,16.289,12.994,10.152,15.295,14.305,17.058,12.889,15.016,13.807,14.928,14.139,16.16
1,16.443,13.089,10.399,18.96,13.462,14.119,14.264,11.294,12.128,12.783,13.068,14.557
2,16.278,12.906,10.413,13.282,16.667,18.903,15.69,14.902,12.288,14.04,12.677,16.038
3,15.948,13.22,10.27,18.041,14.447,17.17,15.72,15.024,11.683,15.858,15.607,15.329
4,15.756,12.757,10.728,17.006,14.653,14.076,13.389,15.52,15.353,16.417,15.659,16.691
5,16.28,13.344,10.56,18.664,16.086,17.035,14.911,12.929,12.03,12.507,16.291,16.034
6,16.091,13.356,10.33,13.208,18.904,15.094,15.007,11.965,12.705,13.372,12.702,16.738
7,16.043,12.672,10.361,16.974,14.629,12.151,12.106,12.019,12.545,16.982,15.496,16.41
8,16.284,12.915,10.897,16.323,15.328,12.035,12.327,12.79,13.134,15.03,15.061,14.168
9,15.868,12.868,10.383,13.672,14.359,12.771,13.481,14.404,13.552,13.557,15.9,14.503
