,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,17.937,14.844,13.149,12.267,13.031,15.608,10.172,11.36,10.8,10.76,10.516,10.505
1,17.236,14.185,13.3,16.658,17.454,18.581,10.258,10.816,10.269,10.55,9.936,9.786
2,17.617,15.305,13.394,18.142,18.048,13.868,11.734,10.922,10.62,9.564,10.375,9.458
3,17.616,14.432,13.71,16.566,13.329,13.571,11.073,11.796,10.215,9.449,9.623,10.945
4,17.529,14.703,12.74,13.596,15.085,16.553,10.64,11.978,9.426,10.951,10.286,9.687
5,17.516,15.165,13.184,17.539,16.941,14.147,9.608,11.839,11.338,10.981,9.255,9.979
6,17.727,15.182,13.515,18.646,12.664,18.192,9.988,10.664,10.688,9.362,9.208,9.965
7,17.484,14.686,13.088,13.098,17.841,12.348,11.739,9.177,10.108,9.562,10.977,9.867
8,17.742,15.027,13.368,17.55,14.566,16.939,10.435,12.068,10.141,10.175,10.329,9.493
9,17.538,15.009,13.566,18.265,16.285,12.039,10.988,10.411,11.78,10.723,10.815,10.04
