,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,17.867,15.849,14.471,14.955,18.436,16.724,18.945,19.421,19.465,19.478,21.149,20.282
1,18.078,16.03,14.462,17.063,18.249,13.582,20.203,18.951,20.47,19.716,18.428,20.664
2,18.761,15.764,14.948,13.492,16.456,14.983,20.489,19.714,19.294,18.198,20.285,19.26
3,18.612,16.422,14.5,12.586,13.416,15.17,19.475,19.737,19.335,17.686,17.587,18.569
4,17.549,15.764,14.323,17.988,15.336,17.513,18.908,19.333,19.842,21.281,20.616,18.061
5,18.607,16.034,15.16,16.482,17.83,15.181,19.467,19.388,19.028,17.163,21.307,21.282
6,18.507,16.441,14.326,18.021,16.487,17.422,19.481,20.209,19.99,19.344,21.257,20.032
7,18.702,15.93,14.362,14.845,14.117,16.556,20.445,19.273,20.356,20.737,19.879,19.89
8,18.387,15.271,14.905,13.767,15.201,12.728,19.622,18.991,20.419,20.004,18.882,17.236
9,18.468,15.713,14.863,18.302,15.371,18.005,20.531,19.282,20.412,20.313,19.908,21.095
