,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,12.932,11.002,9.74,10.954,15.229,15.191,8.932,10.021,8.32,14.41,17.918,17.878
1,13.052,10.849,9.31,12.703,13.874,9.615,8.223,9.589,11.678,16.702,14.045,14.455
2,12.756,11.239,9.619,13.117,11.96,10.914,7.961,8.488,8.12,16.614,15.3,15.105
3,13.447,10.822,9.468,13.471,10.336,9.285,11.977,10.316,7.123,14.662,14.225,15.975
4,13.547,10.889,9.377,13.436,13.129,9.203,11.808,10.917,7.54,16.415,16.391,16.332
5,13.105,10.609,9.963,15.576,12.037,9.154,11.843,8.908,9.666,15.204,16.463,14.997
6,12.491,11.203,9.94,14.438,14.396,12.36,11.23,10.376,10.485,16.007,14.719,15.664
7,13.223,10.73,8.979,11.611,13.616,12.166,9.017,8.244,7.755,14.333,17.369,15.532
8,13.385,11.167,9.795,9.881,11.031,10.173,9.107,8.811,9.509,17.461,17.319,17.572
9,13.335,10.806,9.675,13.218,9.132,10.198,10.985,8.149,11.181,15.075,15.035,16.193
